Order ID,Order Date,Year,Month,Month-Year,Customer ID,Customer Name,Region,Category,Product,Quantity,Unit Price ($),Total Amount ($),Payment Method,Status
ORD-2025001,24-11-2025,2025,Nov,2025-11,CUST-1002,Priya Patel,West,Electronics,Wireless Headphones,2,354.28,708.56,Credit Card,Completed
ORD-2025002,07-10-2025,2025,Oct,2025-10,CUST-1002,Priya Patel,West,Books & Media,Python Programming Book,2,11.49,22.98,UPI,Completed
ORD-2025003,14-01-2025,2025,Jan,2025-01,CUST-1009,Amit Joshi,West,Clothing,Hoodie,4,59.05,236.2,Net Banking,Completed
ORD-2025004,04-01-2025,2025,Jan,2025-01,CUST-1003,Rohan Verma,North,Books & Media,Sci-Fi Novel,2,23.89,47.78,Net Banking,Completed
ORD-2025005,14-07-2025,2025,Jul,2025-07,CUST-1002,Priya Patel,West,Home & Kitchen,Air Fryer,1,223.19,223.19,Debit Card,Completed
ORD-2025006,13-07-2025,2025,Jul,2025-07,CUST-1002,Priya Patel,West,Home & Kitchen,Ergonomic Chair,3,313.34,940.02,UPI,Completed
ORD-2025007,24-01-2025,2025,Jan,2025-01,CUST-1004,Ananya Iyer,South,Home & Kitchen,Coffee Maker,1,303.7,303.7,Debit Card,Completed
ORD-2025008,22-11-2025,2025,Nov,2025-11,CUST-1006,Neha Gupta,East,Clothing,Cotton T-Shirt,3,52.3,156.9,Credit Card,Completed
ORD-2025009,29-03-2025,2025,Mar,2025-03,CUST-1009,Amit Joshi,West,Clothing,Running Shoes,3,63.54,190.62,UPI,Completed
ORD-2025010,29-01-2025,2025,Jan,2025-01,CUST-1004,Ananya Iyer,South,Electronics,Wireless Headphones,1,529.3,529.3,UPI,Pending
ORD-2025011,18-10-2025,2025,Oct,2025-10,CUST-1006,Neha Gupta,East,Clothing,Leather Belt,4,56.54,226.16,UPI,Completed
ORD-2025012,07-05-2025,2025,May,2025-05,CUST-1009,Amit Joshi,West,Home & Kitchen,Ergonomic Chair,5,167.1,835.5,Debit Card,Completed
ORD-2025013,12-03-2025,2025,Mar,2025-03,CUST-1009,Amit Joshi,West,Books & Media,Python Programming Book,1,47.79,47.79,UPI,Completed
ORD-2025014,15-12-2025,2025,Dec,2025-12,CUST-1007,Siddharth Rao,South,Electronics,Smartwatch,4,507.41,2029.64,Net Banking,Cancelled
ORD-2025015,06-01-2025,2025,Jan,2025-01,CUST-1002,Priya Patel,West,Home & Kitchen,Air Fryer,4,65.7,262.8,UPI,Completed
ORD-2025016,15-05-2025,2025,May,2025-05,CUST-1009,Amit Joshi,West,Clothing,Hoodie,3,110.83,332.49,UPI,Completed
ORD-2025017,24-03-2025,2025,Mar,2025-03,CUST-1009,Amit Joshi,West,Electronics,4K Monitor,1,443.05,443.05,Credit Card,Pending
ORD-2025018,07-06-2025,2025,Jun,2025-06,CUST-1004,Ananya Iyer,South,Electronics,Smartphone,1,1063.37,1063.37,Credit Card,Completed
ORD-2025019,05-02-2025,2025,Feb,2025-02,CUST-1009,Amit Joshi,West,Clothing,Running Shoes,5,84.27,421.35,UPI,Completed
ORD-2025020,07-11-2025,2025,Nov,2025-11,CUST-1007,Siddharth Rao,South,Clothing,Hoodie,2,94.3,188.6,Net Banking,Completed
ORD-2025021,10-12-2025,2025,Dec,2025-12,CUST-1006,Neha Gupta,East,Books & Media,Audiobook Subscription,2,32.57,65.14,UPI,Completed
ORD-2025022,11-01-2025,2025,Jan,2025-01,CUST-1010,Sneha Kulkarni,West,Clothing,Hoodie,1,38.12,38.12,Credit Card,Completed
ORD-2025023,17-01-2025,2025,Jan,2025-01,CUST-1006,Neha Gupta,East,Electronics,4K Monitor,4,346.57,1386.28,UPI,Completed
ORD-2025024,20-10-2025,2025,Oct,2025-10,CUST-1010,Sneha Kulkarni,West,Books & Media,Data Science Handbook,4,49.23,196.92,UPI,Completed
ORD-2025025,04-12-2025,2025,Dec,2025-12,CUST-1007,Siddharth Rao,South,Home & Kitchen,Desk Lamp,1,161.55,161.55,Credit Card,Completed
ORD-2025026,23-06-2025,2025,Jun,2025-06,CUST-1002,Priya Patel,West,Clothing,Running Shoes,4,34.97,139.88,UPI,Completed
ORD-2025027,23-05-2025,2025,May,2025-05,CUST-1008,Pooja Mukherjee,East,Clothing,Denim Jacket,5,61.53,307.65,Credit Card,Completed
